forecast_id,product_id,month,forecast_quantity,actual_quantity,mape,forecast_accuracy_status
FC0000001,PROD00362,2025-01,4425,4143,6.81,Acceptable
FC0000002,PROD00362,2025-02,4425,4260,3.87,Acceptable
FC0000003,PROD00362,2025-03,4425,4525,2.21,Acceptable
FC0000004,PROD00362,2025-04,4425,4615,4.12,Acceptable
FC0000005,PROD00362,2025-05,4425,4488,1.4,Acceptable
FC0000006,PROD00362,2025-06,4425,4306,2.76,Acceptable
FC0000007,PROD00362,2025-07,4425,4476,1.14,Acceptable
FC0000008,PROD00362,2025-08,4425,4621,4.24,Acceptable
FC0000009,PROD00362,2025-09,4425,2967,49.14,High Error
FC0000010,PROD00362,2025-10,4425,4220,4.86,Acceptable
FC0000011,PROD00362,2025-11,4425,4494,1.54,Acceptable
FC0000012,PROD00362,2025-12,4425,5730,22.77,High Error
FC0000013,PROD00362,2026-01,4425,4603,3.87,Acceptable
FC0000014,PROD00362,2026-02,4425,4102,7.87,Acceptable
FC0000015,PROD00362,2026-03,4425,4487,1.38,Acceptable
FC0000016,PROD00362,2026-04,4425,4358,1.54,Acceptable
FC0000017,PROD00362,2026-05,4425,4538,2.49,Acceptable
FC0000018,PROD00362,2026-06,4425,4206,5.21,Acceptable
FC0000019,PROD00074,2025-01,2343,2268,3.31,Acceptable
FC0000020,PROD00074,2025-02,2343,2247,4.27,Acceptable
FC0000021,PROD00074,2025-03,2343,2569,8.8,Acceptable
FC0000022,PROD00074,2025-04,2343,2287,2.45,Acceptable
FC0000023,PROD00074,2025-05,2343,1289,81.77,High Error
FC0000024,PROD00074,2025-06,2343,2382,1.64,Acceptable
FC0000025,PROD00074,2025-07,2343,2546,7.97,Acceptable
FC0000026,PROD00074,2025-08,2343,2071,13.13,Acceptable
FC0000027,PROD00074,2025-09,2343,2536,7.61,Acceptable
FC0000028,PROD00074,2025-10,2343,2253,3.99,Acceptable
FC0000029,PROD00074,2025-11,2343,2160,8.47,Acceptable
FC0000030,PROD00074,2025-12,2343,2017,16.16,Acceptable
FC0000031,PROD00074,2026-01,2343,2596,9.75,Acceptable
FC0000032,PROD00074,2026-02,2343,2012,16.45,Acceptable
FC0000033,PROD00074,2026-03,2343,2387,1.84,Acceptable
FC0000034,PROD00074,2026-04,2343,2288,2.4,Acceptable
FC0000035,PROD00074,2026-05,2343,2401,2.42,Acceptable
FC0000036,PROD00074,2026-06,2343,2626,10.78,Acceptable
FC0000037,PROD00375,2025-01,3930,3619,8.59,Acceptable
FC0000038,PROD00375,2025-02,3930,4195,6.32,Acceptable
FC0000039,PROD00375,2025-03,3930,3803,3.34,Acceptable
FC0000040,PROD00375,2025-04,3930,3903,0.69,Acceptable
FC0000041,PROD00375,2025-05,3930,3660,7.38,Acceptable
FC0000042,PROD00375,2025-06,3930,3545,10.86,Acceptable
FC0000043,PROD00375,2025-07,3930,3705,6.07,Acceptable
FC0000044,PROD00375,2025-08,3930,4232,7.14,Acceptable
FC0000045,PROD00375,2025-09,3930,4106,4.29,Acceptable
FC0000046,PROD00375,2025-10,3930,3728,5.42,Acceptable
FC0000047,PROD00375,2025-11,3930,4109,4.36,Acceptable
FC0000048,PROD00375,2025-12,3930,3675,6.94,Acceptable
FC0000049,PROD00375,2026-01,3930,3758,4.58,Acceptable
FC0000050,PROD00375,2026-02,3930,4164,5.62,Acceptable
FC0000051,PROD00375,2026-03,3930,3782,3.91,Acceptable
FC0000052,PROD00375,2026-04,3930,3811,3.12,Acceptable
