inventory_id,product_id,warehouse_id,current_stock,reserved_stock,available_stock,safety_stock,reorder_point,last_updated
INV000001,PROD00001,WH003,934,87,847,385,562,2026-07-06
INV000002,PROD00002,WH007,744,13,731,176,416,2026-07-06
INV000003,PROD00003,WH002,456,116,340,120,300,2026-07-06
INV000004,PROD00004,WH007,679,143,536,455,679,2026-07-06
INV000005,PROD00005,WH005,968,183,785,333,603,2026-07-06
INV000006,PROD00006,WH003,744,183,561,200,361,2026-07-06
INV000007,PROD00007,WH001,926,29,897,480,693,2026-07-06
INV000008,PROD00008,WH004,199,194,5,59,137,2026-07-06
INV000009,PROD00009,WH002,454,0,454,499,694,2026-07-06
INV000010,PROD00010,WH007,699,90,609,387,558,2026-07-06
INV000011,PROD00011,WH008,597,140,457,415,544,2026-07-06
INV000012,PROD00012,WH004,1069,95,974,176,283,2026-07-06
INV000013,PROD00013,WH006,217,11,206,86,317,2026-07-06
INV000014,PROD00014,WH008,336,126,210,192,413,2026-07-06
INV000015,PROD00015,WH006,287,183,104,463,617,2026-07-06
INV000016,PROD00016,WH001,838,27,811,289,560,2026-07-06
INV000017,PROD00017,WH008,520,156,364,459,729,2026-07-06
INV000018,PROD00018,WH008,401,48,353,143,264,2026-07-06
INV000019,PROD00019,WH003,247,100,147,383,571,2026-07-06
INV000020,PROD00020,WH007,441,117,324,296,400,2026-07-06
INV000021,PROD00021,WH008,390,183,207,185,472,2026-07-06
INV000022,PROD00022,WH001,692,27,665,201,306,2026-07-06
INV000023,PROD00023,WH003,848,11,837,75,274,2026-07-06
INV000024,PROD00024,WH007,252,197,55,485,582,2026-07-06
INV000025,PROD00025,WH006,922,117,805,346,548,2026-07-06
INV000026,PROD00026,WH003,1032,34,998,392,625,2026-07-06
INV000027,PROD00027,WH002,1021,1,1020,211,498,2026-07-06
INV000028,PROD00028,WH004,1086,188,898,309,426,2026-07-06
INV000029,PROD00029,WH001,99,70,29,130,292,2026-07-06
INV000030,PROD00030,WH003,886,149,737,499,583,2026-07-06
INV000031,PROD00031,WH008,989,130,859,359,462,2026-07-06
INV000032,PROD00032,WH001,362,177,185,97,309,2026-07-06
INV000033,PROD00033,WH007,1184,44,1140,376,676,2026-07-06
INV000034,PROD00034,WH003,262,26,236,88,379,2026-07-06
INV000035,PROD00035,WH006,793,168,625,71,199,2026-07-06
INV000036,PROD00036,WH003,659,129,530,391,467,2026-07-06
INV000037,PROD00037,WH003,787,107,680,459,716,2026-07-06
INV000038,PROD00038,WH007,508,70,438,460,681,2026-07-06
INV000039,PROD00039,WH004,814,87,727,163,264,2026-07-06
INV000040,PROD00040,WH006,602,115,487,254,388,2026-07-06
INV000041,PROD00041,WH001,273,35,238,64,143,2026-07-06
INV000042,PROD00042,WH002,845,154,691,226,462,2026-07-06
INV000043,PROD00043,WH004,1049,76,973,180,241,2026-07-06
INV000044,PROD00044,WH005,1121,80,1041,85,377,2026-07-06
INV000045,PROD00045,WH007,1133,161,972,217,370,2026-07-06
INV000046,PROD00046,WH005,445,51,394,365,560,2026-07-06
INV000047,PROD00047,WH004,429,159,270,270,521,2026-07-06
INV000048,PROD00048,WH006,595,175,420,387,458,2026-07-06
INV000049,PROD00049,WH001,707,172,535,394,523,2026-07-06
INV000050,PROD00050,WH004,271,181,90,293,499,2026-07-06
INV000051,PROD00051,WH002,364,128,236,254,366,2026-07-06
INV000052,PROD00052,WH002,1111,177,934,140,395,2026-07-06
INV000053,PROD00053,WH007,660,181,479,460,628,2026-07-06
INV000054,PROD00054,WH005,236,194,42,430,700,2026-07-06
INV000055,PROD00055,WH005,721,143,578,190,352,2026-07-06
INV000056,PROD00056,WH003,983,149,834,326,396,2026-07-06
INV000057,PROD00057,WH001,1168,170,998,262,416,2026-07-06
INV000058,PROD00058,WH007,854,172,682,249,530,2026-07-06
INV000059,PROD00059,WH004,1093,73,1020,230,356,2026-07-06
INV000060,PROD00060,WH007,865,3,862,189,350,2026-07-06
INV000061,PROD00061,WH001,1070,27,1043,115,324,2026-07-06
INV000062,PROD00062,WH007,51,24,27,119,390,2026-07-06
INV000063,PROD00063,WH005,297,13,284,282,415,2026-07-06
INV000064,PROD00064,WH001,115,25,90,477,547,2026-07-06
INV000065,PROD00065,WH004,546,192,354,382,449,2026-07-06
INV000066,PROD00066,WH004,329,73,256,172,254,2026-07-06
INV000067,PROD00067,WH003,513,37,476,442,586,2026-07-06
INV000068,PROD00068,WH007,127,75,52,346,402,2026-07-06
INV000069,PROD00069,WH002,417,192,225,353,579,2026-07-06
INV000070,PROD00070,WH001,1108,8,1100,322,481,2026-07-06
INV000071,PROD00071,WH003,734,115,619,104,264,2026-07-06
INV000072,PROD00072,WH008,209,157,52,425,608,2026-07-06
INV000073,PROD00073,WH002,1150,57,1093,472,709,2026-07-06
INV000074,PROD00074,WH006,1149,99,1050,174,416,2026-07-06
INV000075,PROD00075,WH005,486,130,356,485,618,2026-07-06
INV000076,PROD00076,WH004,589,177,412,500,702,2026-07-06
INV000077,PROD00077,WH008,96,48,48,418,572,2026-07-06
INV000078,PROD00078,WH004,793,106,687,455,509,2026-07-06
INV000079,PROD00079,WH006,640,141,499,292,483,2026-07-06
INV000080,PROD00080,WH006,110,1,109,188,316,2026-07-06
INV000081,PROD00081,WH005,514,51,463,148,253,2026-07-06
INV000082,PROD00082,WH003,907,57,850,201,309,2026-07-06
INV000083,PROD00083,WH008,753,193,560,77,268,2026-07-06
INV000084,PROD00084,WH003,1119,189,930,343,465,2026-07-06
INV000085,PROD00085,WH008,402,198,204,491,663,2026-07-06
INV000086,PROD00086,WH002,396,75,321,127,215,2026-07-06
INV000087,PROD00087,WH005,919,45,874,447,630,2026-07-06
INV000088,PROD00088,WH004,152,47,105,341,549,2026-07-06
INV000089,PROD00089,WH002,355,188,167,388,458,2026-07-06
INV000090,PROD00090,WH005,1052,30,1022,259,424,2026-07-06
INV000091,PROD00091,WH004,772,10,762,86,311,2026-07-06
INV000092,PROD00092,WH002,877,71,806,328,435,2026-07-06
INV000093,PROD00093,WH005,1139,67,1072,455,583,2026-07-06
INV000094,PROD00094,WH001,266,41,225,306,494,2026-07-06
INV000095,PROD00095,WH001,1196,65,1131,359,473,2026-07-06
INV000096,PROD00096,WH005,11,5,6,440,683,2026-07-06
INV000097,PROD00097,WH006,955,181,774,375,633,2026-07-06
INV000098,PROD00098,WH007,317,10,307,214,435,2026-07-06
INV000099,PROD00099,WH001,314,82,232,389,680,2026-07-06
INV000100,PROD00100,WH001,104,99,5,211,325,2026-07-06
INV000101,PROD00101,WH008,616,125,491,77,175,2026-07-06
INV000102,PROD00102,WH008,1172,140,1032,186,376,2026-07-06
INV000103,PROD00103,WH001,733,18,715,372,577,2026-07-06
INV000104,PROD00104,WH003,650,134,516,165,430,2026-07-06
INV000105,PROD00105,WH008,450,47,403,310,540,2026-07-06
INV000106,PROD00106,WH003,1066,17,1049,332,419,2026-07-06
INV000107,PROD00107,WH005,1034,40,994,445,697,2026-07-06
INV000108,PROD00108,WH008,851,139,712,421,547,2026-07-06
INV000109,PROD00109,WH004,1099,103,996,332,577,2026-07-06
INV000110,PROD00110,WH007,188,89,99,169,438,2026-07-06
INV000111,PROD00111,WH006,453,54,399,303,599,2026-07-06
INV000112,PROD00112,WH007,679,84,595,101,285,2026-07-06
INV000113,PROD00113,WH002,738,75,663,290,540,2026-07-06
INV000114,PROD00114,WH002,447,192,255,212,422,2026-07-06
INV000115,PROD00115,WH002,1086,121,965,166,407,2026-07-06
INV000116,PROD00116,WH005,1149,192,957,405,531,2026-07-06
INV000117,PROD00117,WH003,18,3,15,270,357,2026-07-06
INV000118,PROD00118,WH008,708,114,594,90,296,2026-07-06
INV000119,PROD00119,WH008,492,164,328,286,499,2026-07-06
INV000120,PROD00120,WH007,499,10,489,87,250,2026-07-06
INV000121,PROD00121,WH002,657,97,560,482,609,2026-07-06
INV000122,PROD00122,WH001,232,98,134,342,483,2026-07-06
INV000123,PROD00123,WH005,525,138,387,54,248,2026-07-06
INV000124,PROD00124,WH002,579,6,573,162,374,2026-07-06
INV000125,PROD00125,WH002,1058,197,861,453,615,2026-07-06
INV000126,PROD00126,WH006,767,131,636,432,588,2026-07-06
INV000127,PROD00127,WH006,1041,114,927,181,464,2026-07-06
INV000128,PROD00128,WH006,996,11,985,88,174,2026-07-06
INV000129,PROD00129,WH007,607,166,441,57,174,2026-07-06
INV000130,PROD00130,WH006,394,82,312,395,504,2026-07-06
INV000131,PROD00131,WH007,1052,21,1031,375,635,2026-07-06
INV000132,PROD00132,WH002,196,42,154,73,365,2026-07-06
INV000133,PROD00133,WH007,1101,136,965,325,409,2026-07-06
INV000134,PROD00134,WH001,15,2,13,385,460,2026-07-06
INV000135,PROD00135,WH006,431,171,260,277,440,2026-07-06
INV000136,PROD00136,WH002,436,175,261,253,373,2026-07-06
INV000137,PROD00137,WH004,868,26,842,75,326,2026-07-06
