product_id,product_name,category,brand,unit_price,supplier_id,warehouse_id,safety_stock,reorder_point
PROD00001,Urban Beauty Item 1,Beauty,Fresh,442.92,SUP015,WH003,385,562
PROD00002,Prime Health Item 2,Health,Zenith,374.77,SUP014,WH007,176,416
PROD00003,Urban Beauty Item 3,Beauty,Metro,50.0,SUP002,WH002,120,300
PROD00004,Prime Apparel Item 4,Apparel,Fresh,300.22,SUP013,WH007,455,679
PROD00005,Zenith Automotive Item 5,Automotive,Apex,341.74,SUP004,WH005,333,603
PROD00006,Nova Beauty Item 6,Beauty,Prime,229.59,SUP009,WH003,200,361
PROD00007,Zenith Home Goods Item 7,Home Goods,Urban,80.66,SUP006,WH001,480,693
PROD00008,Metro Beauty Item 8,Beauty,Core,439.97,SUP010,WH004,59,137
PROD00009,Urban Electronics Item 9,Electronics,Nova,47.4,SUP016,WH002,499,694
PROD00010,Prime Apparel Item 10,Apparel,Prime,136.2,SUP020,WH007,387,558
PROD00011,Urban Grocery Item 11,Grocery,Fresh,497.6,SUP012,WH008,415,544
PROD00012,Nova Automotive Item 12,Automotive,Nova,172.35,SUP019,WH004,176,283
PROD00013,Apex Grocery Item 13,Grocery,Apex,118.33,SUP002,WH006,86,317
PROD00014,Urban Home Goods Item 14,Home Goods,Metro,111.05,SUP005,WH008,192,413
PROD00015,Metro Grocery Item 15,Grocery,Urban,51.69,SUP014,WH006,463,617
PROD00016,Fresh Office Supplies Item 16,Office Supplies,Apex,338.32,SUP004,WH001,289,560
PROD00017,Core Office Supplies Item 17,Office Supplies,Nova,128.08,SUP007,WH008,459,729
PROD00018,Fresh Apparel Item 18,Apparel,Metro,128.65,SUP003,WH008,143,264
PROD00019,Apex Home Goods Item 19,Home Goods,Apex,484.65,SUP008,WH003,383,571
PROD00020,Metro Office Supplies Item 20,Office Supplies,Fresh,451.71,SUP006,WH007,296,400
PROD00021,Fresh Electronics Item 21,Electronics,Metro,146.2,SUP018,WH008,185,472
PROD00022,Urban Apparel Item 22,Apparel,Apex,291.69,SUP018,WH001,201,306
PROD00023,Apex Beauty Item 23,Beauty,Metro,253.91,SUP017,WH003,75,274
PROD00024,Nova Electronics Item 24,Electronics,Nova,299.54,SUP008,WH007,485,582
PROD00025,Urban Home Goods Item 25,Home Goods,Apex,311.59,SUP014,WH006,346,548
PROD00026,Urban Health Item 26,Health,Core,123.15,SUP013,WH003,392,625
PROD00027,Metro Health Item 27,Health,Nova,9.61,SUP020,WH002,211,498
PROD00028,Urban Home Goods Item 28,Home Goods,Prime,466.96,SUP003,WH004,309,426
PROD00029,Zenith Beauty Item 29,Beauty,Zenith,307.78,SUP017,WH001,130,292
PROD00030,Nova Health Item 30,Health,Zenith,62.14,SUP004,WH003,499,583
PROD00031,Zenith Health Item 31,Health,Core,105.78,SUP009,WH008,359,462
PROD00032,Apex Health Item 32,Health,Fresh,415.53,SUP002,WH001,97,309
PROD00033,Prime Beauty Item 33,Beauty,Zenith,84.98,SUP015,WH007,376,676
PROD00034,Nova Electronics Item 34,Electronics,Prime,275.07,SUP012,WH003,88,379
PROD00035,Prime Office Supplies Item 35,Office Supplies,Core,450.0,SUP002,WH006,71,199
PROD00036,Urban Grocery Item 36,Grocery,Core,391.16,SUP014,WH003,391,467
PROD00037,Prime Grocery Item 37,Grocery,Prime,441.3,SUP001,WH003,459,716
PROD00038,Fresh Beauty Item 38,Beauty,Urban,137.07,SUP004,WH007,460,681
PROD00039,Metro Electronics Item 39,Electronics,Metro,178.08,SUP008,WH004,163,264
PROD00040,Urban Electronics Item 40,Electronics,Zenith,432.85,SUP009,WH006,254,388
PROD00041,Core Office Supplies Item 41,Office Supplies,Zenith,93.39,SUP009,WH001,64,143
PROD00042,Fresh Home Goods Item 42,Home Goods,Core,221.01,SUP017,WH002,226,462
PROD00043,Urban Office Supplies Item 43,Office Supplies,Fresh,5.84,SUP018,WH004,180,241
PROD00044,Fresh Beauty Item 44,Beauty,Core,313.46,SUP004,WH005,85,377
PROD00045,Fresh Health Item 45,Health,Zenith,279.43,SUP007,WH007,217,370
PROD00046,Prime Office Supplies Item 46,Office Supplies,Zenith,206.01,SUP001,WH005,365,560
PROD00047,Urban Health Item 47,Health,Core,235.17,SUP015,WH004,270,521
PROD00048,Prime Automotive Item 48,Automotive,Zenith,260.15,SUP020,WH006,387,458
PROD00049,Urban Home Goods Item 49,Home Goods,Urban,404.25,SUP005,WH001,394,523
PROD00050,Urban Electronics Item 50,Electronics,Nova,230.43,SUP019,WH004,293,499
PROD00051,Metro Office Supplies Item 51,Office Supplies,Prime,329.75,SUP001,WH002,254,366
PROD00052,Urban Office Supplies Item 52,Office Supplies,Metro,29.86,SUP008,WH002,140,395
PROD00053,Prime Automotive Item 53,Automotive,Core,475.27,SUP015,WH007,460,628
PROD00054,Prime Automotive Item 54,Automotive,Metro,227.78,SUP008,WH005,430,700
PROD00055,Urban Automotive Item 55,Automotive,Nova,358.2,SUP008,WH005,190,352
PROD00056,Core Beauty Item 56,Beauty,Prime,79.66,SUP013,WH003,326,396
PROD00057,Nova Grocery Item 57,Grocery,Core,273.59,SUP014,WH001,262,416
PROD00058,Fresh Grocery Item 58,Grocery,Apex,429.08,SUP019,WH007,249,530
PROD00059,Apex Automotive Item 59,Automotive,Fresh,427.46,SUP014,WH004,230,356
PROD00060,Urban Automotive Item 60,Automotive,Metro,19.37,SUP011,WH007,189,350
PROD00061,Metro Apparel Item 61,Apparel,Apex,453.93,SUP019,WH001,115,324
PROD00062,Fresh Home Goods Item 62,Home Goods,Metro,94.96,SUP009,WH007,119,390
PROD00063,Urban Beauty Item 63,Beauty,Core,381.81,SUP013,WH005,282,415
PROD00064,Zenith Office Supplies Item 64,Office Supplies,Metro,14.59,SUP018,WH001,477,547
PROD00065,Urban Beauty Item 65,Beauty,Apex,378.35,SUP008,WH004,382,449
PROD00066,Prime Electronics Item 66,Electronics,Metro,336.38,SUP019,WH004,172,254
PROD00067,Zenith Automotive Item 67,Automotive,Prime,304.92,SUP004,WH003,442,586
PROD00068,Nova Health Item 68,Health,Zenith,290.02,SUP013,WH007,346,402
PROD00069,Nova Grocery Item 69,Grocery,Urban,55.44,SUP010,WH002,353,579
PROD00070,Core Electronics Item 70,Electronics,Core,39.13,SUP011,WH001,322,481
PROD00071,Metro Office Supplies Item 71,Office Supplies,Core,319.61,SUP015,WH003,104,264
