po_number,supplier_id,product_id,quantity,unit_price,order_value,order_date,expected_delivery_date,actual_delivery_date,status,delay_reason
PO000001,SUP012,PROD00116,1027,469.43,482104.61,2025-11-06,2025-11-19,2025-11-22,Delivered,
PO000002,SUP003,PROD00022,1622,1022.35,1658251.7,2025-09-07,2025-09-25,2025-09-29,Delivered,
PO000003,SUP019,PROD00305,1833,937.98,1719317.34,2025-03-09,2025-03-19,2025-03-22,Delivered,
PO000004,SUP013,PROD00434,758,221.61,167980.38,2025-12-17,2026-01-04,,In Transit,
PO000005,SUP009,PROD00137,1382,810.39,1119958.98,2025-03-21,2025-04-23,2025-04-27,Delivered,
PO000006,SUP013,PROD00471,335,383.1,128338.5,2025-04-10,2025-04-27,2025-04-30,Delivered,
PO000007,SUP013,PROD00449,2074,607.41,1259768.34,2025-04-22,2025-05-12,2025-05-30,Delayed,Supplier production delay
PO000008,SUP013,PROD00011,2428,856.97,2080723.16,2025-03-04,2025-03-15,2025-03-14,Delivered,
PO000009,SUP017,PROD00476,1243,498.12,619163.16,2025-01-01,2025-01-23,2025-02-12,Delayed,Weather disruption
PO000010,SUP018,PROD00048,892,514.96,459344.32,2026-02-04,2026-02-23,2026-02-23,Delivered,
PO000011,SUP013,PROD00412,1830,148.18,271169.4,2025-11-21,2025-12-05,2025-12-06,Delivered,
PO000012,SUP011,PROD00016,1705,77.43,132018.15,2025-12-19,2025-12-30,2026-01-04,Delivered,
PO000013,SUP020,PROD00295,267,477.72,127551.24,2025-05-11,2025-06-07,2025-06-12,Delivered,
PO000014,SUP008,PROD00280,1521,305.78,465091.38,2025-01-01,2025-01-14,,In Transit,
PO000015,SUP011,PROD00209,2467,51.5,127050.5,2025-04-23,2025-05-07,2025-05-20,Delayed,Customs clearance delay
PO000016,SUP020,PROD00160,1832,198.89,364366.48,2026-02-08,2026-03-08,2026-03-26,Delayed,Customs clearance delay
PO000017,SUP005,PROD00223,820,819.02,671596.4,2025-08-05,2025-08-25,2025-08-24,Delivered,
PO000018,SUP017,PROD00190,564,953.47,537757.08,2026-01-29,2026-02-27,2026-03-09,Delayed,Supplier production delay
PO000019,SUP020,PROD00264,639,292.96,187201.44,2025-05-18,2025-06-05,2025-06-02,Delivered,
PO000020,SUP001,PROD00211,606,572.5,346935.0,2026-05-14,2026-05-25,,Open,
PO000021,SUP011,PROD00405,1753,1186.09,2079215.77,2025-03-28,2025-04-09,,In Transit,
PO000022,SUP008,PROD00265,786,553.5,435051.0,2026-04-12,2026-04-26,,Open,
PO000023,SUP017,PROD00367,1625,930.37,1511851.25,2026-04-11,2026-05-15,2026-05-19,Delivered,
PO000024,SUP013,PROD00356,2417,986.91,2385361.47,2025-12-30,2026-01-12,2026-01-09,Delivered,
PO000025,SUP020,PROD00500,2287,992.68,2270259.16,2026-05-26,2026-06-20,2026-07-04,Delayed,Customs clearance delay
PO000026,SUP018,PROD00026,2377,193.51,459973.27,2026-01-11,2026-01-21,,Cancelled,
PO000027,SUP005,PROD00317,377,246.77,93032.29,2026-05-10,2026-05-31,2026-06-04,Delivered,
PO000028,SUP019,PROD00059,1194,805.0,961170.0,2025-05-26,2025-06-08,,Cancelled,
PO000029,SUP015,PROD00070,1054,425.41,448382.14,2026-04-22,2026-05-10,2026-05-08,Delivered,
PO000030,SUP014,PROD00172,2424,292.47,708947.28,2026-04-29,2026-05-05,2026-05-10,Delivered,
PO000031,SUP001,PROD00290,2241,185.14,414898.74,2025-11-16,2025-11-30,2025-12-02,Delivered,
PO000032,SUP005,PROD00368,2400,365.61,877464.0,2025-01-12,2025-01-29,2025-02-02,Delivered,
PO000033,SUP017,PROD00417,1234,1070.95,1321552.3,2025-12-06,2026-01-06,2026-01-07,Delivered,
