return_id,product_id,return_reason,warehouse_id,quantity,return_date
RET000001,PROD00411,Quality Issue,WH001,17,2025-03-15
RET000002,PROD00142,Customer Changed Mind,WH002,9,2025-08-08
RET000003,PROD00486,Customer Changed Mind,WH003,6,2025-10-05
RET000004,PROD00275,Wrong Item,WH003,6,2025-08-08
RET000005,PROD00187,Late Delivery,WH007,13,2026-05-30
RET000006,PROD00400,Customer Changed Mind,WH008,3,2025-05-03
RET000007,PROD00211,Customer Changed Mind,WH002,17,2025-02-16
RET000008,PROD00496,Wrong Item,WH003,4,2026-02-14
RET000009,PROD00496,Wrong Item,WH008,11,2025-09-03
RET000010,PROD00058,Damaged,WH005,12,2025-07-02
RET000011,PROD00243,Late Delivery,WH005,15,2026-01-01
RET000012,PROD00313,Wrong Item,WH008,1,2025-05-15
RET000013,PROD00127,Late Delivery,WH008,9,2025-02-22
RET000014,PROD00493,Wrong Item,WH003,11,2025-09-18
RET000015,PROD00116,Wrong Item,WH001,7,2026-04-09
RET000016,PROD00130,Late Delivery,WH006,2,2026-05-19
RET000017,PROD00448,Wrong Item,WH008,9,2026-06-22
RET000018,PROD00258,Wrong Item,WH001,2,2025-08-16
RET000019,PROD00094,Damaged,WH004,1,2026-02-14
RET000020,PROD00311,Quality Issue,WH004,14,2026-04-11
RET000021,PROD00273,Quality Issue,WH006,17,2026-01-26
RET000022,PROD00263,Customer Changed Mind,WH008,16,2025-12-31
RET000023,PROD00164,Late Delivery,WH008,8,2025-04-06
RET000024,PROD00316,Wrong Item,WH006,8,2025-08-20
RET000025,PROD00478,Wrong Item,WH008,19,2026-05-29
RET000026,PROD00270,Wrong Item,WH004,18,2025-02-08
RET000027,PROD00110,Damaged,WH006,14,2025-10-26
RET000028,PROD00248,Quality Issue,WH007,4,2025-10-24
RET000029,PROD00102,Quality Issue,WH002,5,2025-06-22
RET000030,PROD00305,Quality Issue,WH007,5,2025-02-14
RET000031,PROD00199,Customer Changed Mind,WH001,19,2025-10-14
RET000032,PROD00397,Wrong Item,WH003,9,2025-12-28
RET000033,PROD00009,Quality Issue,WH006,14,2025-05-17
RET000034,PROD00278,Quality Issue,WH004,15,2025-04-29
RET000035,PROD00411,Damaged,WH002,16,2025-06-04
RET000036,PROD00055,Damaged,WH002,15,2025-01-24
RET000037,PROD00116,Late Delivery,WH006,13,2025-11-25
RET000038,PROD00105,Quality Issue,WH005,16,2026-04-11
RET000039,PROD00310,Late Delivery,WH002,2,2025-09-11
RET000040,PROD00475,Quality Issue,WH005,10,2026-03-05
RET000041,PROD00177,Customer Changed Mind,WH001,16,2025-09-24
RET000042,PROD00430,Quality Issue,WH008,16,2025-05-08
RET000043,PROD00412,Customer Changed Mind,WH001,8,2026-06-16
RET000044,PROD00042,Wrong Item,WH005,19,2025-01-19
RET000045,PROD00446,Wrong Item,WH001,1,2025-05-19
RET000046,PROD00485,Wrong Item,WH005,4,2025-08-08
RET000047,PROD00171,Damaged,WH006,11,2026-05-07
RET000048,PROD00180,Wrong Item,WH004,2,2025-01-19
RET000049,PROD00101,Customer Changed Mind,WH001,7,2025-08-24
RET000050,PROD00039,Late Delivery,WH004,4,2026-01-14
RET000051,PROD00441,Quality Issue,WH004,4,2025-09-13
RET000052,PROD00049,Customer Changed Mind,WH006,1,2025-06-04
RET000053,PROD00136,Customer Changed Mind,WH002,20,2025-10-05
RET000054,PROD00324,Late Delivery,WH008,8,2026-05-26
RET000055,PROD00410,Wrong Item,WH003,16,2025-05-22
RET000056,PROD00015,Damaged,WH003,17,2026-06-22
RET000057,PROD00400,Customer Changed Mind,WH007,7,2025-08-29
RET000058,PROD00186,Damaged,WH007,6,2025-04-07
RET000059,PROD00468,Late Delivery,WH007,15,2025-02-01
RET000060,PROD00332,Wrong Item,WH001,8,2026-03-01
RET000061,PROD00432,Quality Issue,WH002,19,2025-03-07
RET000062,PROD00451,Customer Changed Mind,WH007,16,2025-09-21
RET000063,PROD00121,Quality Issue,WH007,20,2025-02-10
RET000064,PROD00051,Late Delivery,WH005,9,2026-02-21
RET000065,PROD00118,Damaged,WH006,3,2025-03-07
RET000066,PROD00001,Damaged,WH006,9,2025-02-13
RET000067,PROD00259,Quality Issue,WH003,11,2025-06-20
RET000068,PROD00233,Quality Issue,WH004,1,2025-12-09
RET000069,PROD00152,Customer Changed Mind,WH001,17,2025-04-15
RET000070,PROD00086,Wrong Item,WH006,17,2026-05-22
RET000071,PROD00249,Wrong Item,WH004,1,2025-11-05
RET000072,PROD00321,Wrong Item,WH008,6,2025-05-15
RET000073,PROD00039,Late Delivery,WH003,4,2026-05-12
RET000074,PROD00053,Wrong Item,WH008,5,2025-12-19
RET000075,PROD00362,Damaged,WH002,9,2025-09-05
RET000076,PROD00105,Late Delivery,WH002,13,2025-08-15
RET000077,PROD00152,Wrong Item,WH003,14,2026-01-28
RET000078,PROD00017,Quality Issue,WH006,19,2026-04-19
RET000079,PROD00295,Wrong Item,WH008,15,2026-03-26
RET000080,PROD00440,Damaged,WH005,14,2026-04-23
RET000081,PROD00235,Late Delivery,WH004,10,2025-01-28
RET000082,PROD00083,Late Delivery,WH008,10,2026-02-08
RET000083,PROD00283,Customer Changed Mind,WH007,18,2025-03-04
RET000084,PROD00131,Late Delivery,WH007,20,2025-08-26
RET000085,PROD00456,Quality Issue,WH002,14,2026-06-01
RET000086,PROD00084,Quality Issue,WH003,20,2025-10-25
RET000087,PROD00168,Customer Changed Mind,WH002,16,2025-05-09
RET000088,PROD00184,Wrong Item,WH007,1,2026-05-07
RET000089,PROD00042,Wrong Item,WH001,18,2025-11-30
RET000090,PROD00424,Damaged,WH001,1,2025-03-07
RET000091,PROD00173,Quality Issue,WH008,18,2025-02-02
RET000092,PROD00120,Damaged,WH003,14,2025-08-31
RET000093,PROD00084,Quality Issue,WH005,3,2025-07-28
RET000094,PROD00272,Damaged,WH004,6,2026-05-12
RET000095,PROD00390,Late Delivery,WH001,17,2025-07-10
RET000096,PROD00455,Customer Changed Mind,WH004,8,2025-04-01
