order_id,customer_name,product_id,quantity,order_date,warehouse_id
SO0000001,QuickBuy,PROD00493,26,2025-04-18,WH001
SO0000002,BlueWave Stores,PROD00253,34,2025-06-03,WH005
SO0000003,BlueWave Stores,PROD00185,37,2025-06-28,WH007
SO0000004,ValueHub,PROD00219,37,2025-05-23,WH002
SO0000005,DailyNeeds,PROD00372,49,2026-02-12,WH001
SO0000006,MetroBasket,PROD00228,38,2025-02-10,WH001
SO0000007,FreshMart,PROD00342,28,2025-10-02,WH001
SO0000008,MetroBasket,PROD00415,2,2025-10-23,WH004
SO0000009,Urban Cart,PROD00433,3,2025-06-12,WH002
SO0000010,NorthStar Retail,PROD00093,39,2025-12-05,WH005
SO0000011,MetroBasket,PROD00354,28,2025-08-24,WH008
SO0000012,MetroBasket,PROD00050,19,2025-09-14,WH004
SO0000013,QuickBuy,PROD00264,39,2025-05-14,WH008
SO0000014,PrimeOutlet,PROD00205,33,2025-12-12,WH003
SO0000015,BlueWave Stores,PROD00041,19,2025-03-09,WH001
SO0000016,DailyNeeds,PROD00427,41,2025-12-22,WH002
SO0000017,DailyNeeds,PROD00426,49,2026-06-04,WH005
SO0000018,DailyNeeds,PROD00409,6,2025-02-06,WH001
SO0000019,Urban Cart,PROD00122,16,2026-01-01,WH001
SO0000020,DailyNeeds,PROD00437,25,2026-02-16,WH004
SO0000021,FreshMart,PROD00337,35,2026-05-05,WH006
SO0000022,NorthStar Retail,PROD00378,40,2025-07-11,WH008
SO0000023,QuickBuy,PROD00011,25,2026-04-08,WH008
SO0000024,PrimeOutlet,PROD00020,5,2025-03-21,WH007
SO0000025,DailyNeeds,PROD00001,40,2026-04-18,WH003
SO0000026,DailyNeeds,PROD00485,25,2026-06-29,WH005
SO0000027,PrimeOutlet,PROD00017,37,2025-06-03,WH008
SO0000028,MetroBasket,PROD00402,32,2026-03-23,WH008
SO0000029,Urban Cart,PROD00232,21,2025-06-07,WH005
SO0000030,PrimeOutlet,PROD00218,13,2026-06-13,WH006
SO0000031,NorthStar Retail,PROD00293,42,2026-05-21,WH005
SO0000032,ValueHub,PROD00494,44,2026-06-29,WH008
SO0000033,NorthStar Retail,PROD00439,26,2026-06-21,WH003
SO0000034,FreshMart,PROD00312,24,2025-07-10,WH006
SO0000035,QuickBuy,PROD00158,2,2025-02-23,WH002
SO0000036,SmartShop,PROD00143,25,2026-01-05,WH007
SO0000037,DailyNeeds,PROD00201,37,2025-12-06,WH006
SO0000038,NorthStar Retail,PROD00076,44,2025-02-09,WH004
SO0000039,Urban Cart,PROD00131,18,2025-05-08,WH007
SO0000040,ValueHub,PROD00267,24,2025-06-30,WH003
SO0000041,QuickBuy,PROD00021,12,2025-10-02,WH008
SO0000042,SmartShop,PROD00401,30,2026-06-21,WH006
SO0000043,FreshMart,PROD00293,9,2026-02-08,WH005
SO0000044,PrimeOutlet,PROD00108,19,2025-12-28,WH008
SO0000045,FreshMart,PROD00094,41,2025-07-10,WH001
SO0000046,MetroBasket,PROD00350,48,2025-05-17,WH006
SO0000047,SmartShop,PROD00257,15,2025-10-03,WH008
SO0000048,MetroBasket,PROD00219,37,2025-07-19,WH002
SO0000049,ValueHub,PROD00487,26,2025-04-16,WH002
SO0000050,QuickBuy,PROD00297,6,2025-06-18,WH001
SO0000051,Urban Cart,PROD00315,35,2025-12-02,WH004
SO0000052,DailyNeeds,PROD00023,12,2025-12-12,WH003
SO0000053,SmartShop,PROD00082,11,2025-12-18,WH003
SO0000054,SmartShop,PROD00184,38,2025-06-25,WH004
SO0000055,FreshMart,PROD00051,22,2025-08-15,WH002
SO0000056,PrimeOutlet,PROD00087,44,2026-06-27,WH005
SO0000057,BlueWave Stores,PROD00106,15,2026-01-14,WH003
SO0000058,BlueWave Stores,PROD00002,36,2026-06-01,WH007
