shipment_id,po_number,carrier,warehouse_id,destination,status,eta
SHP000001,PO002712,Ryder,WH006,"Atlanta, GA",Delayed,2026-07-31
SHP000002,PO001545,FedEx,WH008,"Seattle, WA",Delivered,2025-05-16
SHP000003,PO001751,J.B. Hunt,WH001,"Dallas, TX",In Transit,2025-02-19
SHP000004,PO002361,J.B. Hunt,WH004,"Atlanta, GA",In Transit,2026-06-28
SHP000005,PO000613,FedEx,WH001,"New York, NY",In Transit,2026-06-30
SHP000006,PO002999,DHL,WH004,"Seattle, WA",In Transit,2025-01-20
SHP000007,PO000352,DHL,WH006,"Seattle, WA",Delayed,2025-01-27
SHP000008,PO002332,J.B. Hunt,WH001,"Dallas, TX",Exception,2026-03-05
SHP000009,PO001018,UPS,WH004,"Dallas, TX",Delivered,2025-06-23
SHP000010,PO001114,DHL,WH001,"Atlanta, GA",Delayed,2025-05-17
SHP000011,PO002231,Ryder,WH008,"Atlanta, GA",Delivered,2025-11-17
SHP000012,PO002532,XPO Logistics,WH007,"New York, NY",Delayed,2025-05-29
SHP000013,PO001076,Ryder,WH003,"Seattle, WA",Exception,2025-04-06
SHP000014,PO002252,UPS,WH004,"Chicago, IL",Exception,2025-07-22
SHP000015,PO000527,J.B. Hunt,WH005,"Chicago, IL",Delayed,2026-03-23
SHP000016,PO000743,J.B. Hunt,WH005,"Atlanta, GA",Delivered,2025-04-06
SHP000017,PO000664,XPO Logistics,WH007,"Dallas, TX",Delayed,2026-04-04
SHP000018,PO000773,J.B. Hunt,WH006,"Dallas, TX",Exception,2025-06-29
SHP000019,PO000549,FedEx,WH001,"Chicago, IL",Exception,2025-10-16
SHP000020,PO000673,DHL,WH002,"Seattle, WA",Delivered,2026-07-02
SHP000021,PO002864,Ryder,WH007,"Atlanta, GA",In Transit,2025-07-04
SHP000022,PO000410,DHL,WH007,"Atlanta, GA",In Transit,2025-08-06
SHP000023,PO002142,XPO Logistics,WH002,"Chicago, IL",Delayed,2025-10-16
SHP000024,PO000615,J.B. Hunt,WH005,"Seattle, WA",Delivered,2025-08-14
SHP000025,PO002160,XPO Logistics,WH005,"Atlanta, GA",Exception,2025-06-27
SHP000026,PO001761,J.B. Hunt,WH003,"New York, NY",Delivered,2025-03-19
SHP000027,PO002848,Ryder,WH004,"Atlanta, GA",Delivered,2025-11-04
SHP000028,PO002072,Ryder,WH005,"Chicago, IL",In Transit,2025-12-14
SHP000029,PO002896,UPS,WH007,"Dallas, TX",Delayed,2026-03-17
SHP000030,PO002169,FedEx,WH004,"New York, NY",Exception,2026-06-08
SHP000031,PO000007,DHL,WH002,"Chicago, IL",Delayed,2026-04-11
SHP000032,PO002579,XPO Logistics,WH005,"New York, NY",Delayed,2025-02-14
SHP000033,PO002915,Ryder,WH006,"Dallas, TX",Delivered,2026-05-31
